Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 China,1397020000,18.1,95969612,2.8,$14.216 trillion ,"$10,153 "
 India,1346310000,17.5,32872632,9.6,"$2,716 trillion ","$2,036 "
 United States,329079000,4.27,9833523,6.97,$20.891 trillion ,"$62,518 "
 Brazil,209811000,2.72,85157672,0.65,$1.929 trillion ,"$9,159 "
 Pakistan,204424000,2.65,8819132,2.86,$304.4 billion ,"$1,629 "
 Nigeria,193392517,2.51,9237682,1.4,$447.013 billion ,"$2,244 "
 Bangladesh,166431000,2.16,1475702,6.4,$313.509 billion ,"$1,882 "
 Russia,146793744,1.91,171251912,13,$1.649 trillion ,"$11,461 "
 Mexico,126577691,1.64,19725502,2.5,$1.199 trillion ,"$9,614 "
 Japan,126220000,1.64,3779732,3.55,$5.071 trillion ,"$40,106 "
 Philippines,107532000,1.4,3000002,0.61,$354 billion ,"$3,246 "
 Ethiopia,98665000,1.28,11043002,0.7,$88.170 billion,$921 
 Egypt,98596600,1.28,10104082,0.632,$301.056 billion ,"$3,005 "
 Vietnam,95354000,1.24,3312122,6.38,$241.434 billion ,"$2,552 "
 Democratic Republic of the Congo,86727573,1.13,23454092,3.32, $46.117 billion,$501 
 Germany,82979100,1.08,3573862,83000000,$4.117 trillion ,"$49,692 "
 Iran,82389800,1.07,16481952,7.07,$334 billion ,"$4,006 "
 Turkey,82003882,1.06,7833562,1.3,$706 billion ,"$8,506 "
 France,66989000,0.87,6406792,5516952,$2.845 trillion ,"$43,500 "
 Thailand,66354917,0.86,5131202,0.4,$516 billion,"$7,607 "
 United Kingdom,66040229,0.86,2424952,1.34,$2.936 trillion ,"$44,177 "
 Italy,60375749,0.78,3013402,2.4,$2.072 trillion ,"$34,260 "
 South Africa,57725600,0.75,12210372,0.38,$386 billion ,"$6,609 "
 Tanzania,55890747,0.73,9473032,6.4,$61.032 billion,"$1,172 "
 Myanmar,54339766,0.71,6765782,3.06,$71.543 billion ,"$1,354 "
 Kenya,52214791,0.68,5803672,2.3,$99.246 billion,"$2,010 "
 South Korea,51811167,0.67,1003632,0.3,$1.655 trillion ,"$32,046 "
 Colombia,49850000,0.65,11417482,8.8,$355.163 billion ,"$7,049 "
 Spain,46733038,0.61,5059902,1.04,$1.506 trillion ,"$32,559 "
 Argentina,44938712,0.58,27804002,1.57,$477.743 billion ,"$10,604 "
 Algeria,43378027,0.56,23817412,1.1,$200.171  billion ,"$4,645 "
 Ukraine,42122657,0.55,6036282,7,$133 billion ,"$3,133 "
 Sudan,41467989,0.54,18860682,39578828,$138.090 billion,"$3,459 "
 Uganda,40006700,0.52,2410382,15.39,$26.391 billion,$700 
 Iraq,39127900,0.51,4370722,1.1,$250.070 billion ,"$6,116 "
